Link,Name,Teams,Prize,Type,Location,Start Date,End Date
https://www.hltv.org/events/8208/exort-series-5,Exort Series 5,8+,10000,8+,Dec 2nd - Dec 4,02.12.2024,04.12.2024
https://www.hltv.org/events/7861/perfect-world-shanghai-major-2024-opening-stage,Perfect World Shanghai Major 2024 Opening Stage,16,Elimination Stage spots,16,Nov 30th - Dec 3,30.11.2024,03.12.2024
https://www.hltv.org/events/8206/esl-impact-autumn-2024-cash-cup-5-north-america,ESL Impact Autumn 2024 Cash Cup 5 North America,2+,1000,2+,Dec 1,01.12.2024,01.12.2024
https://www.hltv.org/events/8205/urban-contenders-season-2,Urban Contenders Season 2,2+,2500,2+,Dec 1,01.12.2024,01.12.2024
https://www.hltv.org/events/8202/rainhas-do-clutch-ferjee-2024-finals,Rainhas do Clutch FERJEE 2024 Finals,4,17232,4,Nov 29th - Dec 1,29.11.2024,01.12.2024
https://www.hltv.org/events/8203/liga-gamers-club-2024-serie-a-november-cup,Liga Gamers Club 2024 Serie A November Cup,4+,2000,4+,Nov 29th - Nov 30,29.11.2024,30.11.2024
https://www.hltv.org/events/8196/chickengg-cup-2024,Chicken.GG Cup 2024,8,15000,8,Nov 25th - Nov 30,25.11.2024,30.11.2024
https://www.hltv.org/events/8187/cct-season-2-south-america-series-5,CCT Season 2 South America Series 5,24,20000,24,Nov 18th - Nov 30,18.11.2024,30.11.2024
https://www.hltv.org/events/8195/european-pro-league-2nd-division-season-17,European Pro League 2nd Division Season 17,8+,10000,8+,Nov 22nd - Nov 29,22.11.2024,29.11.2024
https://www.hltv.org/events/8197/galaxy-battle-4,Galaxy Battle 4,8+,10000,8+,Nov 24th - Nov 27,24.11.2024,27.11.2024
https://www.hltv.org/events/8174/ukic-league-winter-2024,UKIC League Winter 2024,6+,LAN Finals spots,6+,Nov 12th - Nov 25,12.11.2024,25.11.2024
https://www.hltv.org/events/8198/defuse-cup-2024,Defuse Cup 2024,2+,1609,2+,Nov 24,24.11.2024,24.11.2024
https://www.hltv.org/events/8193/prizepicks-na-revival-series-4,PrizePicks NA Revival Series 4,8,5000,8,Nov 23rd - Nov 24,23.11.2024,24.11.2024
https://www.hltv.org/events/8192/intel-monsters-reloaded-2024,Intel Monsters Reloaded 2024,4+,10000,4+,Nov 23rd - Nov 24,23.11.2024,24.11.2024
https://www.hltv.org/events/8194/desafio-brasileiro-de-esports-2024-finals,Desafio Brasileiro de Esports 2024 Finals,4,23470,4,Nov 22nd - Nov 24,22.11.2024,24.11.2024
https://www.hltv.org/events/8166/tipsport-mr-2024,Tipsport MČR 2024,6,65347,6,Nov 22nd - Nov 24,22.11.2024,24.11.2024
https://www.hltv.org/events/7567/esl-impact-league-season-6-finals,ESL Impact League Season 6 Finals,8,123000,8,Nov 22nd - Nov 24,22.11.2024,24.11.2024
https://www.hltv.org/events/7865/perfect-world-shanghai-major-2024-europe-rmr-b,Perfect World Shanghai Major 2024 Europe RMR B,16,PW Shanghai Major spots,16,Nov 21st - Nov 24,21.11.2024,24.11.2024
https://www.hltv.org/events/8111/a1-gaming-league-season-9,A1 Gaming League Season 9,20,15000,20,Sep 28th - Nov 24,28.09.2024,24.11.2024
https://www.hltv.org/events/8178/power-ligaen-season-27-finals,POWER Ligaen Season 27 Finals,3,11426,3,Nov 23,23.11.2024,23.11.2024
https://www.hltv.org/events/8157/svenska-elitserien-fall-2024-finals,Svenska Elitserien Fall 2024 Finals,4,22209,4,Nov 21st - Nov 23,21.11.2024,23.11.2024
https://www.hltv.org/events/8191/1xbet-mesa-asia-series-2,1xBet MESA Asia Series 2,8,10000,8,Nov 20th - Nov 23,20.11.2024,23.11.2024
https://www.hltv.org/events/8181/retake-season-9-finals,Retake Season 9 Finals,2,1500,2,Nov 22,22.11.2024,22.11.2024
https://www.hltv.org/events/7864/perfect-world-shanghai-major-2024-europe-rmr-a,Perfect World Shanghai Major 2024 Europe RMR A,16,PW Shanghai Major spots,16,Nov 17th - Nov 20,17.11.2024,20.11.2024
https://www.hltv.org/events/8184/dust2-india-1xbet-masters-16,Dust2 India 1xBet Masters 16,2+,1500,2+,Nov 19,19.11.2024,19.11.2024
https://www.hltv.org/events/8189/esl-impact-autumn-2024-cash-cup-4-north-america,ESL Impact Autumn 2024 Cash Cup 4 North America,2+,1000,2+,Nov 17,17.11.2024,17.11.2024
https://www.hltv.org/events/8180/redzone-pro-league-2024-season-5,RedZone PRO League 2024 Season 5,2+,1743,2+,Nov 17,17.11.2024,17.11.2024
https://www.hltv.org/events/8185/amd-gameon-2024,AMD GameOn 2024,4,3500,4,Nov 16th - Nov 17,16.11.2024,17.11.2024
https://www.hltv.org/events/8183/a1-adria-league-season-14-finals,A1 Adria League Season 14 Finals,4,15004,4,Nov 16th - Nov 17,16.11.2024,17.11.2024
https://www.hltv.org/events/8179/master-league-portugal-xv,Master League Portugal XV,4,10656,4,Nov 16th - Nov 17,16.11.2024,17.11.2024
https://www.hltv.org/events/7779/iesf-world-championship-2024,IESF World Championship 2024,24,240000,24,Nov 13th - Nov 17,13.11.2024,17.11.2024
https://www.hltv.org/events/8168/united21-league-season-22,United21 League Season 22,8+,10000,8+,Nov 9th - Nov 17,09.11.2024,17.11.2024
https://www.hltv.org/events/8186/icelandic-esports-league-season-9-finals,Icelandic Esports League Season 9 Finals,2,7230,2,Nov 16,16.11.2024,16.11.2024
https://www.hltv.org/events/8182/yalla-cup-2024,Yalla! Cup 2024,2,1508,2,Nov 16,16.11.2024,16.11.2024
https://www.hltv.org/events/8152/t-esports-championship-season-3-finals,T-Esports Championship Season 3 Finals,2,35855,2,Nov 16,16.11.2024,16.11.2024
https://www.hltv.org/events/8171/cct-season-2-europe-series-15-closed-qualifier,CCT Season 2 Europe Series 15 Closed Qualifier,16,CCT S2 EU Series 15 spots,16,Nov 11th - Nov 16,11.11.2024,16.11.2024
https://www.hltv.org/events/7863/perfect-world-shanghai-major-2024-americas-rmr,Perfect World Shanghai Major 2024 Americas RMR,16,PW Shanghai Major spots,16,Nov 12th - Nov 15,12.11.2024,15.11.2024
https://www.hltv.org/events/8177/power-ligaen-season-27,POWER Ligaen Season 27,4,LAN Finals spots,4,Nov 14,14.11.2024,14.11.2024
https://www.hltv.org/events/7953/iesf-women-world-championship-2024,IESF Women World Championship 2024,16,160000,16,Nov 11th - Nov 14,11.11.2024,14.11.2024
https://www.hltv.org/events/7862/perfect-world-shanghai-major-2024-asia-rmr,Perfect World Shanghai Major 2024 Asia RMR,8,PW Shanghai Major spots,8,Nov 11th - Nov 13,11.11.2024,13.11.2024
https://www.hltv.org/events/8108/yalla-compass-fall-2024,YaLLa Compass Fall 2024,20,25000,20,Oct 28th - Nov 12,28.10.2024,12.11.2024
https://www.hltv.org/events/8144/european-pro-league-season-20,European Pro League Season 20,16,20000,16,Oct 25th - Nov 11,25.10.2024,11.11.2024
https://www.hltv.org/events/8167/liga-gamers-club-2024-serie-a-october-cup,Liga Gamers Club 2024 Serie A October Cup,4+,2000,4+,Nov 9th - Nov 10,09.11.2024,10.11.2024
https://www.hltv.org/events/8129/winline-insight-season-6,Winline Insight Season 6,16,25000,16,Oct 10th - Nov 10,10.10.2024,10.11.2024
https://www.hltv.org/events/8176/nitro-fresh-contest-pro-league-season-4,Nitro Fresh Contest Pro League Season 4,2+,2797,2+,Nov 9,09.11.2024,09.11.2024
https://www.hltv.org/events/8175/pavaga-premier-league-season-3,Pavaga Premier League Season 3,2+,1100,2+,Nov 9,09.11.2024,09.11.2024
https://www.hltv.org/events/8170/digital-warriors-fall-cup-2024-finals,Digital Warriors Fall Cup 2024 Finals,4,2000,4,Nov 9,09.11.2024,09.11.2024
https://www.hltv.org/events/8169/olybet-baltics-cup-2024,OlyBet Baltics Cup 2024,4,5424,4,Nov 9,09.11.2024,09.11.2024
https://www.hltv.org/events/8080/svenska-cupen-2024,Svenska Cupen 2024,6,48480,6,Nov 7th - Nov 9,07.11.2024,09.11.2024
https://www.hltv.org/events/8154/cct-season-2-south-america-series-4,CCT Season 2 South America Series 4,24,20000,24,Oct 28th - Nov 9,28.10.2024,09.11.2024
